"Date","M001","M002","M003","M004","M005","M006","M007","M008","M009","M010","M011","M012"
2015-06-05,1.7,4.7,1.9,4.4,13.1,1.1,NA,NA,1.6,4,1.8,2.2
2015-06-06,1,0,0.9,2.7,2.7,0.6,2.3,0.5,0,0.6,0.8,0.1
2015-06-07,1.2,0.4,0.1,2.4,NA,0.4,5,2.6,0.9,1.9,0.3,0.7
2015-06-08,7.4,1.2,8.499999,6.8,7.8,9.3,5.1,5.4,0.6,2.1,2.4,6
2015-06-09,0,0,0,0.1,0.3,0,0,0,0,0,0,0
2015-06-10,1.4,2.3,2.6,2.4,3.5,2.1,1.3,4.4,1.6,3.1,1.3,0.7
2015-06-11,1.7,0,0.5,0.5,0.4,1.3,0.1,0.8,0,1,1.2,0
2015-06-12,1.2,1.1,1.1,1,5.3,0.7,1.3,1.4,2.2,3.1,0.3,0.3
2015-06-13,3,1.6,1.8,2.6,5.9,4.9000001,3,3,0.8,0.3,1,1.5
2015-06-14,0,0,0,0,0,2.6,0,0,0,0,0,0
2015-06-15,0.1,0.4,0.3,0,0.1,0,0.1,0,0.1,0.2,0.1,0.6
2015-06-16,1.5,1,2.1,2.6,1,1.9,0.5,1,0.9,0.9,1.6,1.2
2015-06-17,0.8,2.5,1.5,10,3.3,1.5,1.9,1.3,1.7,0.7,1.5,1.8
2015-06-18,0.7,0,0.1,0.2,1.2,0,0.3,0.3,0,0.2,0.5,0.1
2015-06-19,3.4,3.5,0.5,7,NA,1.1,4.6,2.6,3.4,2.5,2.9,3
2015-06-20,0.5,0.4,0.3,5.3,7.9,0.3,3.8,1.4,0.6,1.4,0.1,0.6
2015-06-21,0,0,0,0.2,1.5,0,1.1,0,0.1,0,0,0
2015-06-22,0,0,0,0.1,0.2,0,0,0,0,0,0,0
2015-06-23,0,0,0,2,2,0,0.9,0.1,0,0.1,0,0
2015-06-24,0.7,1.1,0.8,NA,5.8,0,4.2,0.7,0.7,1.3,0.1,0.8
